Date,^GSPC_Open
2014-01-02,1845.8599853515625
2014-01-03,1833.2099609375
2014-01-06,1832.31005859375
2014-01-07,1828.7099609375
2014-01-08,1837.9000244140625
2014-01-09,1839.0
2014-01-10,1840.06005859375
2014-01-13,1841.260009765625
2014-01-14,1821.3599853515625
2014-01-15,1840.52001953125
2014-01-16,1847.989990234375
2014-01-17,1844.22998046875
2014-01-21,1841.050048828125
2014-01-22,1844.7099609375
2014-01-23,1842.2900390625
2014-01-24,1826.9599609375
2014-01-27,1791.030029296875
2014-01-28,1783.0
2014-01-29,1790.1500244140625
2014-01-30,1777.1700439453125
2014-01-31,1790.8800048828125
2014-02-03,1782.6800537109375
2014-02-04,1743.8199462890625
2014-02-05,1753.3800048828125
2014-02-06,1752.989990234375
2014-02-07,1776.010009765625
2014-02-10,1796.199951171875
2014-02-11,1800.449951171875
2014-02-12,1820.1199951171875
2014-02-13,1814.8199462890625
2014-02-14,1828.4599609375
2014-02-18,1839.030029296875
2014-02-19,1838.9000244140625
2014-02-20,1829.239990234375
2014-02-21,1841.0699462890625
2014-02-24,1836.780029296875
2014-02-25,1847.6600341796875
2014-02-26,1845.7900390625
2014-02-27,1844.9000244140625
2014-02-28,1855.1199951171875
2014-03-03,1857.6800537109375
2014-03-04,1849.22998046875
2014-03-05,1874.050048828125
2014-03-06,1874.1800537109375
2014-03-07,1878.52001953125
2014-03-10,1877.8599853515625
2014-03-11,1878.260009765625
2014-03-12,1866.1500244140625
2014-03-13,1869.06005859375
2014-03-14,1845.0699462890625
2014-03-17,1842.81005859375
2014-03-18,1858.9200439453125
2014-03-19,1872.25
2014-03-20,1860.0899658203125
2014-03-21,1874.530029296875
2014-03-24,1867.6700439453125
2014-03-25,1859.47998046875
2014-03-26,1867.0899658203125
2014-03-27,1852.1099853515625
2014-03-28,1850.0699462890625
2014-03-31,1859.1600341796875
2014-04-01,1873.9599609375
2014-04-02,1886.6099853515625
2014-04-03,1891.4300537109375
2014-04-04,1890.25
2014-04-07,1863.9200439453125
2014-04-08,1845.47998046875
2014-04-09,1852.6400146484375
2014-04-10,1872.280029296875
2014-04-11,1830.6500244140625
2014-04-14,1818.1800537109375
2014-04-15,1831.449951171875
2014-04-16,1846.010009765625
2014-04-17,1861.72998046875
2014-04-21,1865.7900390625
2014-04-22,1872.5699462890625
2014-04-23,1879.3199462890625
2014-04-24,1881.969970703125
2014-04-25,1877.719970703125
2014-04-28,1865.0
2014-04-29,1870.780029296875
2014-04-30,1877.0999755859375
2014-05-01,1884.3900146484375
2014-05-02,1885.300048828125
2014-05-05,1879.449951171875
2014-05-06,1883.68994140625
2014-05-07,1868.530029296875
2014-05-08,1877.3900146484375
2014-05-09,1875.27001953125
2014-05-12,1880.030029296875
2014-05-13,1896.75
2014-05-14,1897.1300048828125
2014-05-15,1888.1600341796875
2014-05-16,1871.18994140625
2014-05-19,1876.6600341796875
2014-05-20,1884.8800048828125
2014-05-21,1873.3399658203125
2014-05-22,1888.18994140625
2014-05-23,1893.3199462890625
2014-05-27,1902.010009765625
2014-05-28,1911.77001953125
2014-05-29,1910.5999755859375
2014-05-30,1920.3299560546875
2014-06-02,1923.8699951171875
2014-06-03,1923.0699462890625
2014-06-04,1923.06005859375
2014-06-05,1928.52001953125
2014-06-06,1942.4100341796875
2014-06-09,1948.969970703125
2014-06-10,1950.3399658203125
